name,year,country,genre,director,rating
Аладдин,2019,"США, Великобритания, Австралия","мюзикл, фэнтези, мелодрама, комедия, приключения, семейный",Гай Ричи,7.3
Ласточки Христовы,2021,Россия,документальный,Юлия Бочарова,–
Титан,2020,"Франция, Бельгия","фантастика, драма, триллер, криминал",Жюлия Дюкурно,5.9
Бэтмен,2022,США,"боевик, драма, криминал, детектив",Мэтт Ривз,7.9
Далласский клуб покупателей,2013,США,"драма, биография",Жан-Марк Валле,7.9
Круэлла,2021,США,"комедия, криминал, драма",Крэйг Гиллеспи,7.5
История рыцаря,2001,США,"боевик, мелодрама, комедия",Брайан Хелгеленд,7.8
Мания,2021,США,"спорт, драма",Лорен Хэдэуэй,6.3
Пара из будущего,2021,Россия,"комедия, фантастика, мелодрама",Алексей Нужный,6.7
Меланхолия,2011,"Дания, Швеция, Франция, Германия","фантастика, драма",Ларс фон Триер,7.0
Своя война,2021,Россия,"драма, триллер, военный",Алексей Чадов,–
Повелитель бури,2008,США,"триллер, драма, военный",Кэтрин Бигелоу,7.3
"Мама, я дома",2021,Россия,драма,Владимир Битоков,6.9
Время первых,2017,Россия,"приключения, триллер, биография, история",Дмитрий Киселёв,7.5
Летчик,2021,Россия,"военный, биография, драма, история",Ренат Давлетьяров,7.4
Гладиатор,2000,"США, Великобритания, Мальта, Марокко","история, боевик, драма, приключения",Ридли Скотт,8.6
Аватар 2,2022,США,"фантастика, боевик, триллер, приключения",Джеймс Кэмерон,90%
Первый встречный,2022,США,"мелодрама, комедия, музыка",Кэт Койро,6.5
Утомленные солнцем 2: Предстояние,2010,Россия,"драма, военный",Никита Михалков,3.8
Бункер,2011,"Колумбия, Испания","триллер, драма, детектив",Андрес Байс,7.2
Гран Торино,2008,"США, Германия",драма,Клинт Иствуд,8.1
Типа крутые легавые,2007,"Великобритания, Франция","боевик, триллер, комедия, детектив",Эдгар Райт,7.6
Гарри Поттер и Дары Смерти: Часть II,2011,"Великобритания, США","фэнтези, детектив, приключения",Дэвид Йейтс,8.1
Пассажиры,2016,"США, Австралия","фантастика, триллер, драма, мелодрама",Мортен Тильдум,7.2
